SalesID,OrderDate,CustomerID,ProductID,Quantity,Cost,SalesAmount,Profit
ORD100000,2022-05-24,CUST1182,PROD112,5,431.85,2884.29,725.04
ORD100001,2024-08-17,CUST1122,PROD133,3,461.45,2032.01,647.66
ORD100002,2024-11-27,CUST1076,PROD101,3,139.47,497.66,79.25
ORD100003,2022-04-06,CUST1000,PROD129,9,356.62,4113.36,903.78
ORD100004,2022-12-19,CUST1096,PROD146,2,6.34,18.85,6.17
ORD100005,2023-05-12,CUST1198,PROD130,7,8.9,92.33,30.03
ORD100006,2022-07-28,CUST1169,PROD117,1,177.5,231.57,54.07
ORD100007,2022-10-16,CUST1104,PROD149,1,296.43,379.27,82.84
ORD100008,2022-03-04,CUST1083,PROD105,1,255.4,377.46,122.06
ORD100009,2023-01-30,CUST1123,PROD121,3,356.71,1433.74,363.61
ORD100010,2023-02-01,CUST1099,PROD105,4,255.4,1224.67,203.07
ORD100011,2022-12-13,CUST1093,PROD124,4,339.74,1776.07,417.11
ORD100012,2022-05-31,CUST1025,PROD141,4,62.27,331.03,81.95
ORD100013,2023-02-08,CUST1123,PROD115,1,225.84,298.32,72.48
ORD100014,2023-01-25,CUST1172,PROD139,5,143.14,903.41,187.71
ORD100015,2024-03-15,CUST1072,PROD143,3,349.16,1213.58,166.1
ORD100016,2023-08-19,CUST1038,PROD140,4,108.83,630.0,194.68
ORD100017,2022-05-08,CUST1050,PROD145,9,474.69,4891.39,619.18
ORD100018,2023-04-06,CUST1143,PROD123,7,174.14,1408.88,189.9
ORD100019,2023-08-16,CUST1132,PROD147,5,325.36,1886.6,259.8
ORD100020,2023-02-18,CUST1026,PROD121,8,356.71,3184.03,330.35
ORD100021,2024-10-21,CUST1075,PROD142,4,290.68,1677.91,515.19
ORD100022,2023-12-21,CUST1026,PROD122,5,106.44,775.25,243.05
ORD100023,2023-07-28,CUST1028,PROD140,7,108.83,875.34,113.53
ORD100024,2022-11-20,CUST1128,PROD132,9,267.62,3094.13,685.55
ORD100025,2022-04-27,CUST1069,PROD109,3,376.54,1420.24,290.62
ORD100026,2024-01-12,CUST1057,PROD140,1,108.83,125.2,16.37
ORD100027,2024-04-04,CUST1013,PROD128,2,19.97,57.74,17.8
ORD100028,2024-08-10,CUST1022,PROD147,7,325.36,3292.44,1014.92
ORD100029,2023-07-15,CUST1061,PROD145,3,474.69,1988.47,564.4
ORD100030,2023-05-08,CUST1090,PROD128,3,19.97,69.89,9.98
ORD100031,2022-03-21,CUST1062,PROD110,9,170.09,1845.32,314.51
ORD100032,2024-01-13,CUST1133,PROD121,1,356.71,419.82,63.11
ORD100033,2023-02-22,CUST1082,PROD111,6,462.46,3976.2,1201.44
ORD100034,2024-07-01,CUST1044,PROD119,3,341.85,1319.93,294.38
ORD100035,2022-08-17,CUST1110,PROD115,3,225.84,786.04,108.52
ORD100036,2023-01-02,CUST1067,PROD109,8,376.54,3325.72,313.4
ORD100037,2022-01-08,CUST1023,PROD124,8,339.74,3292.5,574.58
